317.740, 129.490, 0.000,  0.000 False
317.740, 129.490, 0.001,  4.200 False
317.740, 129.490, 0.001,  4.600 False
317.739, 129.490, 0.015,  5.000 False
317.738, 129.490, 0.013,  5.400 False
317.737, 129.490, 0.013,  5.800 False
317.736, 129.490, 0.018,  6.200 False
317.734, 129.490, 0.039,  6.600 False
317.714, 129.490, 0.306,  7.000 False
317.661, 129.490, 0.655,  7.400 False
317.568, 129.490, 1.138,  7.800 False
317.415, 129.490, 1.729,  8.200 False
317.212, 129.490, 2.212,  8.600 False
316.965, 129.490, 2.627,  9.000 False
316.682, 129.489, 2.996,  9.400 False
316.362, 129.489, 3.344,  9.800 False
316.009, 129.489, 3.670, 10.200 False
315.624, 129.489, 3.980, 10.600 False
315.209, 129.488, 4.275, 11.000 False
314.765, 129.488, 4.561, 11.400 False
314.294, 129.488, 4.840, 11.800 False
313.793, 129.488, 5.124, 12.200 False
313.265, 129.488, 5.405, 12.600 False
312.706, 129.487, 5.701, 13.000 False
312.119, 129.487, 5.997, 13.400 False
311.501, 129.487, 6.308, 13.800 False
310.852, 129.487, 6.615, 14.200 False
310.172, 129.487, 6.930, 14.600 False
309.461, 129.486, 7.237, 15.000 False
308.719, 129.486, 7.548, 15.400 False
307.947, 129.488, 7.851, 15.800 False
307.143, 129.498, 8.156, 16.200 False
306.311, 129.512, 8.454, 16.600 False
305.448, 129.528, 8.739, 17.000 False
304.564, 129.549, 8.920, 17.400 False
303.671, 129.572, 8.947, 17.800 False
302.785, 129.596, 8.831, 18.200 False
301.916, 129.622, 8.630, 18.600 False
301.069, 129.649, 8.410, 19.000 False
300.241, 129.677, 8.224, 19.400 False
299.426, 129.706, 8.112, 19.800 False
298.617, 129.736, 8.087, 20.200 False
297.806, 129.768, 8.134, 20.600 False
296.987, 129.801, 8.222, 21.000 False
296.159, 129.837, 8.317, 21.400 False
295.323, 129.882, 8.393, 21.800 False
294.482, 129.933, 8.438, 22.200 False
293.640, 129.986, 8.447, 22.600 False
292.798, 130.041, 8.424, 23.000 False
291.961, 130.099, 8.383, 23.400 False
291.128, 130.159, 8.339, 23.800 False
290.298, 130.222, 8.305, 24.200 False
289.472, 130.286, 8.286, 24.600 False
288.646, 130.355, 8.284, 25.000 False
287.820, 130.421, 8.295, 25.400 False
286.991, 130.483, 8.313, 25.800 False
286.161, 130.545, 8.332, 26.200 False
285.329, 130.606, 8.347, 26.600 False
284.496, 130.666, 8.354, 27.000 False
283.662, 130.724, 8.354, 27.400 False
282.829, 130.776, 8.348, 27.800 False
281.996, 130.820, 8.339, 28.200 False
281.164, 130.861, 8.332, 28.600 False
280.332, 130.897, 8.327, 29.000 False
279.500, 130.929, 8.324, 29.400 False
278.668, 130.954, 8.324, 29.800 False
277.835, 130.978, 8.327, 30.200 False
277.003, 130.997, 8.331, 30.600 False
276.169, 131.012, 8.334, 31.000 False
275.336, 131.023, 8.336, 31.400 False
274.502, 131.030, 8.337, 31.800 False
273.669, 131.033, 8.337, 32.200 False
272.835, 131.033, 8.335, 32.600 False
272.002, 131.030, 8.334, 33.000 False
271.168, 131.025, 8.333, 33.400 False
270.335, 131.017, 8.332, 33.800 False
269.502, 131.003, 8.331, 34.200 False
268.669, 130.988, 8.331, 34.600 False
267.836, 130.971, 8.332, 35.000 False
267.003, 130.952, 8.333, 35.400 False
266.170, 130.928, 8.333, 35.800 False
265.337, 130.903, 8.334, 36.200 False
264.504, 130.877, 8.334, 36.600 False
263.672, 130.848, 8.334, 37.000 False
262.839, 130.818, 8.333, 37.400 False
262.006, 130.787, 8.333, 37.800 False
261.173, 130.754, 8.333, 38.200 False
260.341, 130.720, 8.333, 38.600 False
259.508, 130.683, 8.332, 39.000 False
258.676, 130.645, 8.333, 39.400 False
257.844, 130.606, 8.333, 39.800 False
257.011, 130.567, 8.333, 40.200 False
256.179, 130.527, 8.333, 40.600 False
255.346, 130.486, 8.333, 41.000 False
254.514, 130.445, 8.333, 41.400 False
253.682, 130.403, 8.333, 41.800 False
252.850, 130.361, 8.333, 42.200 False
252.017, 130.320, 8.333, 42.600 False
251.185, 130.278, 8.333, 43.000 False
250.353, 130.236, 8.333, 43.400 False
249.521, 130.194, 8.333, 43.800 False
248.688, 130.152, 8.333, 44.200 False
247.856, 130.111, 8.333, 44.600 False
247.024, 130.069, 8.333, 45.000 False
246.191, 130.028, 8.333, 45.400 False
245.359, 129.988, 8.333, 45.800 False
244.527, 129.947, 8.333, 46.200 False
243.694, 129.908, 8.333, 46.600 False
242.862, 129.868, 8.333, 47.000 False
242.030, 129.830, 8.333, 47.400 False
241.197, 129.792, 8.333, 47.800 False
240.365, 129.755, 8.333, 48.200 False
239.532, 129.719, 8.333, 48.600 False
238.700, 129.683, 8.333, 49.000 False
237.867, 129.648, 8.333, 49.400 False
237.034, 129.615, 8.333, 49.800 False
236.202, 129.581, 8.333, 50.200 False
235.369, 129.549, 8.333, 50.600 False
234.536, 129.518, 8.333, 51.000 False
233.703, 129.488, 8.333, 51.400 False
232.871, 129.459, 8.333, 51.800 False
232.038, 129.431, 8.333, 52.200 False
231.205, 129.404, 8.333, 52.600 False
230.372, 129.378, 8.333, 53.000 False
229.539, 129.353, 8.333, 53.400 False
228.706, 129.329, 8.333, 53.800 False
227.873, 129.306, 8.333, 54.200 False
227.040, 129.285, 8.333, 54.600 False
226.207, 129.264, 8.333, 55.000 False
225.374, 129.245, 8.333, 55.400 False
224.541, 129.226, 8.333, 55.800 False
223.708, 129.208, 8.333, 56.200 False
222.874, 129.192, 8.333, 56.600 False
222.041, 129.176, 8.333, 57.000 False
221.208, 129.161, 8.333, 57.400 False
220.375, 129.148, 8.333, 57.800 False
219.542, 129.135, 8.333, 58.200 False
218.708, 129.123, 8.333, 58.600 False
217.875, 129.112, 8.333, 59.000 False
217.042, 129.102, 8.333, 59.400 False
216.209, 129.093, 8.333, 59.800 False
215.375, 129.085, 8.333, 60.200 False
214.544, 129.078, 8.284, 60.600 False
213.727, 129.072, 8.074, 61.000 False
212.945, 129.068, 7.662, 61.400 False
212.212, 129.069, 7.135, 61.800 False
211.535, 129.069, 6.552, 62.200 False
210.918, 129.071, 5.946, 62.600 False
210.360, 129.073, 5.344, 63.000 False
209.858, 129.075, 4.818, 63.400 False
209.394, 129.078, 4.538, 63.800 False
208.937, 129.084, 4.571, 64.200 False
208.462, 129.089, 4.819, 64.600 False
207.956, 129.094, 5.160, 65.000 False
207.414, 129.099, 5.546, 65.400 False
206.834, 129.105, 5.928, 65.800 False
206.221, 129.113, 6.242, 66.200 False
205.585, 129.121, 6.411, 66.600 False
204.947, 129.130, 6.367, 67.000 False
204.325, 129.138, 6.146, 67.400 False
203.732, 129.147, 5.829, 67.800 False
203.169, 129.156, 5.539, 68.200 False
202.629, 129.164, 5.334, 68.600 False
202.104, 129.173, 5.226, 69.000 False
201.578, 129.182, 5.282, 69.400 False
201.035, 129.190, 5.511, 69.800 False
200.458, 129.200, 5.921, 70.200 False
199.839, 129.210, 6.320, 70.600 False
199.188, 129.222, 6.598, 71.000 False
198.522, 129.234, 6.677, 71.400 False
197.865, 129.245, 6.528, 71.800 False
197.232, 129.256, 6.229, 72.200 False
196.634, 129.267, 5.859, 72.600 False
196.071, 129.277, 5.507, 73.000 False
195.539, 129.286, 5.234, 73.400 False
195.025, 129.295, 5.082, 73.800 False
194.518, 129.304, 5.068, 74.200 False
194.002, 129.313, 5.202, 74.600 False
193.462, 129.323, 5.512, 75.000 False
192.880, 129.333, 5.981, 75.400 False
192.253, 129.343, 6.417, 75.800 False
191.590, 129.355, 6.736, 76.200 False
190.911, 129.366, 6.826, 76.600 False
190.238, 129.377, 6.666, 77.000 False
189.594, 129.387, 6.334, 77.400 False
188.988, 129.397, 5.930, 77.800 False
188.422, 129.406, 5.524, 78.200 False
187.889, 129.414, 5.229, 78.600 False
187.375, 129.421, 5.081, 79.000 False
186.868, 129.429, 5.049, 79.400 False
186.355, 129.436, 5.180, 79.800 False
185.817, 129.444, 5.497, 80.200 False
185.237, 129.452, 5.954, 80.600 False
184.614, 129.460, 6.371, 81.000 False
183.956, 129.469, 6.684, 81.400 False
183.279, 129.477, 6.807, 81.800 False
182.607, 129.486, 6.683, 82.200 False
181.958, 129.494, 6.381, 82.600 False
181.347, 129.501, 5.988, 83.000 False
180.774, 129.507, 5.593, 83.400 False
180.237, 129.513, 5.252, 83.800 False
179.725, 129.518, 5.050, 84.200 False
179.224, 129.523, 4.995, 84.600 False
178.714, 129.527, 5.149, 85.000 False
178.180, 129.532, 5.437, 85.400 False
177.613, 129.537, 5.790, 85.800 False
177.010, 129.542, 6.153, 86.200 False
176.376, 129.547, 6.442, 86.600 False
175.723, 129.552, 6.574, 87.000 False
175.069, 129.556, 6.510, 87.400 False
174.433, 129.561, 6.289, 87.800 False
173.825, 129.564, 5.984, 88.200 False
173.248, 129.567, 5.655, 88.600 False
172.700, 129.570, 5.386, 89.000 False
172.174, 129.572, 5.180, 89.400 False
171.663, 129.574, 5.068, 89.800 False
171.154, 129.576, 5.095, 90.200 False
170.633, 129.578, 5.280, 90.600 False
170.081, 129.579, 5.662, 91.000 False
169.485, 129.581, 6.114, 91.400 False
168.847, 129.583, 6.514, 91.800 False
168.179, 129.584, 6.761, 92.200 False
167.503, 129.586, 6.759, 92.600 False
166.842, 129.587, 6.533, 93.000 False
166.213, 129.587, 6.173, 93.400 False
165.622, 129.588, 5.776, 93.800 False
165.069, 129.588, 5.405, 94.200 False
164.544, 129.588, 5.170, 94.600 False
164.035, 129.585, 5.036, 95.000 False
163.532, 129.584, 5.015, 95.400 False
163.021, 129.582, 5.149, 95.800 False
162.487, 129.581, 5.458, 96.200 False
161.910, 129.579, 5.931, 96.600 False
161.288, 129.577, 6.370, 97.000 False
160.629, 129.575, 6.706, 97.400 False
159.948, 129.573, 6.850, 97.800 False
159.271, 129.571, 6.733, 98.200 False
158.618, 129.569, 6.424, 98.600 False
158.003, 129.566, 6.016, 99.000 False
157.428, 129.564, 5.609, 99.400 False
156.890, 129.562, 5.266, 99.800 False
156.375, 129.561, 5.101, 100.200 False
155.866, 129.559, 5.068, 100.600 False
155.352, 129.556, 5.172, 101.000 False
154.818, 129.554, 5.444, 101.400 False
154.244, 129.552, 5.898, 101.800 False
153.624, 129.550, 6.348, 102.200 False
152.966, 129.547, 6.702, 102.600 False
152.286, 129.545, 6.844, 103.000 False
151.608, 129.542, 6.727, 103.400 False
150.957, 129.540, 6.414, 103.800 False
150.342, 129.537, 6.009, 104.200 False
149.770, 129.535, 5.587, 104.600 False
149.234, 129.536, 5.237, 105.000 False
148.725, 129.535, 5.003, 105.400 False
148.227, 129.534, 4.974, 105.800 False
147.717, 129.534, 5.151, 106.200 False
147.183, 129.533, 5.439, 106.600 False
146.616, 129.532, 5.791, 107.000 False
146.013, 129.527, 6.146, 107.400 False
145.380, 129.524, 6.430, 107.800 False
144.728, 129.521, 6.562, 108.200 False
144.076, 129.518, 6.495, 108.600 False
143.441, 129.516, 6.273, 109.000 False
142.835, 129.513, 5.968, 109.400 False
142.258, 129.511, 5.668, 109.800 False
