-182.161, 49.358, 4.504, 55.800
-182.155, 48.906, 4.548, 56.200
-182.149, 48.448, 4.593, 56.600
-182.143, 47.986, 4.639, 57.000
-182.137, 47.520, 4.685, 57.400
-182.130, 47.049, 4.731, 57.800
-182.125, 46.573, 4.778, 58.200
-182.119, 46.092, 4.825, 58.600
-182.113, 45.607, 4.872, 59.000
-182.107, 45.117, 4.920, 59.400
-182.101, 44.622, 4.969, 59.800
-182.095, 44.122, 5.018, 60.200
-182.090, 43.618, 5.068, 60.600
-182.084, 43.108, 5.110, 61.000
-182.079, 42.599, 5.076, 61.400
-182.073, 42.094, 5.054, 61.800
-182.068, 41.588, 5.071, 62.200
-182.063, 41.077, 5.128, 62.600
-182.057, 40.559, 5.218, 63.000
-182.052, 40.030, 5.329, 63.400
-182.047, 39.490, 5.447, 63.800
-182.041, 38.938, 5.557, 64.200
-182.036, 38.377, 5.649, 64.600
-182.031, 37.808, 5.722, 65.000
-182.025, 37.232, 5.776, 65.400
-182.020, 36.652, 5.818, 65.800
-182.015, 36.069, 5.854, 66.200
-182.010, 35.481, 5.890, 66.600
-182.005, 34.890, 5.931, 67.000
-182.000, 34.294, 5.979, 67.400
-181.995, 33.692, 6.035, 67.800
-181.990, 33.085, 6.099, 68.200
-181.985, 32.471, 6.168, 68.600
-181.980, 31.849, 6.240, 69.000
-181.975, 31.221, 6.312, 69.400
-181.970, 30.585, 6.383, 69.800
-181.965, 29.943, 6.450, 70.200
-181.960, 29.294, 6.515, 70.600
-181.955, 28.639, 6.578, 71.000
-181.950, 27.977, 6.640, 71.400
-181.945, 27.309, 6.703, 71.800
-181.940, 26.635, 6.768, 72.200
-181.935, 25.954, 6.833, 72.600
-181.930, 25.267, 6.899, 73.000
-181.925, 24.573, 6.967, 73.400
-181.920, 23.872, 7.035, 73.800
-181.915, 23.164, 7.105, 74.200
-181.911, 22.449, 7.175, 74.600
-181.906, 21.728, 7.246, 75.000
-181.901, 20.999, 7.318, 75.400
-181.896, 20.263, 7.391, 75.800
-181.891, 19.519, 7.464, 76.200
-181.886, 18.768, 7.537, 76.600
-181.881, 18.010, 7.611, 77.000
-181.876, 17.245, 7.685, 77.400
-181.871, 16.472, 7.759, 77.800
-181.866, 15.692, 7.834, 78.200
-181.861, 14.904, 7.910, 78.600
-181.856, 14.109, 7.987, 79.000
-181.851, 13.305, 8.065, 79.400
-181.846, 12.494, 8.145, 79.800
-181.841, 11.675, 8.226, 80.200
-181.836, 10.847, 8.308, 80.600
-181.831, 10.012, 8.390, 81.000
-181.826, 9.168, 8.474, 81.400
-181.820, 8.316, 8.558, 81.800
-181.815, 7.455, 8.643, 82.200
